문제번호,문제,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설,용어,용어ID,일련번호
188,"""수술 후 감염""에 대한 설명으로 옳은 것은?",,수술 후 10일 이내에 감염이 생긴 경우이다.,수술 후 10일 이후에 감염이 생긴 경우이다.,수술 직후 당일에 감염이 생긴 경우만 의미한다.,수술이 원인이 되어 발생한 감염은 모두 해당된다.,수술 시작 전에 감염된 상태에서 수술한 경우에도 포함된다.,1,"병원 진료 결과 관리 기준상 수술 후 감염률 통계에 집계되는 '수술 후 감염'이란 수술 시행 후 10일 이내에 원내에서 발생한 감염만을 한정하여 뜻하며, 수술 전 기감염 상태는 제외합니다.",수술,585,47
189,일정기간 동안 한 개의 병상을 중심으로 사용자(환자)를 교체한 평균 횟수를 구하는 것은?,,병상회전율,병상가동률,병상이동률,병상감염률,병상교체율,1,일정한 분석 기간 동안 가동된 병상 1개를 평균적으로 거쳐 간 퇴원 환자의 빈도(교체 횟수)를 나타내어 이용 강도를 측정하는 지표는 병상회전율(bed turnover rate)입니다.,병상회전율(회),23,65
190,"""스윙병상""이란?",,병원 병상에 포함되지 못하는 분만실 내의 병상,"응급실, 외래환자들의 일시적 사용을 위한 병상",실제로 보유하고 있는 병상 수인 실 가동병상 수,외출이 가능한 입원환자를 위하여 보조서비스로 제공되는 병상,장기치료 병상과 융통성 있게 이용할 수 있는 병원의 급성 치료 병상,5,스윙병상(swing beds)이란 병원의 운영 효율성을 극대화하기 위해 환자 추이에 따라 장기 요양 치료 병상과 급성기 치료 병동용으로 유연하게 전형·융통하여 사용하는 가변적 급성 치료 병상을 일컫습니다.,,,
191,"""병상가동률""이란?",,기간의 말일 현재 재원 수와 총 병상 수의 비율,기간 중 재원환자 연인원수와 총 병상 수의 비율,기간 중 일일 평균퇴원환자 수와 총 병상 수의 비율,기간 중 일일 평균재원환자 수와 총 병상 수의 비율,기간 중 재원환자 연인원수와 기간 중 가동될 수 있는 총 병상 수의 비율,5,"병상가동률(이용률)은 병원이 확보하고 있는 가동 병상 중 실제 입원 환자들이 점유하여 사용한 실적 비율을 뜻하며, '재원환자 연인원수 / (총 가동병상수 × 날 수) × 100'으로 정의됩니다.",병상가동률(병상이용률),19,64
192,기술역학에서 추세변화에 대한 설명으로 옳은 것은?,,1년을 주기로 질병이 발생하는 것,수 년의 간격으로 질병의 발생이 반복되는 경우,외래감염병의 국내 침입 시에서 볼 수 있는 돌발적 유행,수십 년간을 주기로 질병의 감소 또는 증가경향을 보이는 것,"시간별, 날짜별 또는 주 단위로 질병발생 양상이 변화하는 것",4,역학에서 질병 발생의 변동 양상 중 '추세변화(Secular trend)'란 단기 주기가 아니라 최소 10년에서 수십 년 이상의 장기적인 세월에 걸쳐 질병의 유행 양상이 서서히 증감하는 경향성을 뜻합니다.,,,
193,코호트 연구방법에서 구할 수 있는 측정 도중 위험요인에 노출된 집단에서의 질병발생률에서 비노출된 집단에서의 질병발생률을 뺀 값을 나타내는 것은?,,비차비,PMI 지수,Kaup 지수,귀속위험도,비교위험도,4,"위험 요인에 노출된 집단의 질병 발생률에서 비노출 집단의 발생률을 차감하여, 해당 요인이 질병 발생에 순수하게 기여한 위험의 절대적 크기를 뜻하는 용어는 귀속위험도(기여위험도, Attributable risk)입니다.",귀속위험도(기여위험도),102,134
194,성비(sex ratio)의 설명으로 옳은 것은?,,출생 시의 성비는 보통 100이다.,2차 성비는 출생 시의 성비를 말한다.,1차 성비는 현재인구의 성비를 말한다.,3차 성비는 65세 이상 노년층의 성비를 말한다.,"여자 1,000명에 대한 남자 인구비를 나타내는 것이다.",2,"인구학적 성비 분류에서 태아의 성비는 1차 성비, 출생 시 신생아의 성비는 2차 성비, 현재 생존해 있는 상주인구 전체의 성비는 3차 성비라고 부릅니다. 성비는 통상 여자 100명당 남자 수(출생 시 약 105)로 표현됩니다.",태아,155,18
195,보건통계에서 모집단이란?,,모성집단,조화평균치,"인구 1,000명당 집단",조사 가능한 전 집합체,조사대상의 단위별 집단,4,"통계학에서 모집단(population)이란 분석가가 관찰하고 연구하고자 하는 속성을 지닌 대상 단위 전체의 총체, 즉 조사 대상이 되는 연구단위의 전 집합체를 의미합니다.",모집단,252,126
196,세계보건기구가 국가 간의 건강수준의 비교 지표를 제시한 것으로 옳은 것은?,,"조사망률, 질병발생률, 평균수명","조사망률, 영아사망률, 평균수명","비례사망지수, 조사망률, 평균수명","비례사망지수, 영아사망률, 평균수명","비례사망지수, 질병발생률, 평균수명",3,"WHO에서 규정한 종합적인 국가 간 보건 수준 및 건강 상태 비교용 3대 대표 지표는 비례사망지수(PMI), 조사망률, 그리고 평균수명입니다.",비례사망지수,85,75
197,재생산율이 1.0일 때의 인구는?,,인구증가,인구감소,알 수 없음,인구의 증감 없음,인구증가 후 감소,4,가임기 여성이 평생 낳는 여아의 수를 바탕으로 산출하는 재생산율 지표가 딱 1.0이라는 것은 부모 세대를 대체하는 자녀 세대의 인구 규모가 동일하여 인구의 외적 증감이 발생하지 않는 정체 상태를 뜻합니다.,재생산율,614,136
198,다음에서 설명하는 것은?,"• 영아 사망 중 신생아 사망이 차지하는 비중을 뜻함
• 값이 1에 가까울수록 보건 수준이 높음
• 영아사망수/신생아 사망수로 값을 표시함 (원문 산식 표기 오류 교정: 영아사망수/신생아사망수 값을 매개로 해석하는 고유 지표)",영아사망률,출생사망지수,비례사망지수,신생아사망률,알파인덱스(a-index),5,"영아 사망수와 신생아 사망수의 비율(영아사망수 / 신생아사망수)로 계산되는 알파인덱스(a-index)는 예방이 어려운 선천성 원인의 신생아 사망 비중을 간접 파악하므로, 1에 가까워질수록 감염 등 환경성 영아 사망이 적다는 의미가 되어 보건 수준이 높음을 시사합니다.",신생아사망,174,38
199,모집단이 어떤 것이라도 추출될 수 있도록 일련번호를 부여하여 무작위 추출하는 확률추출 방법은?,,계통추출법,집락추출법,층화임의추출법,단순 임의추출법,다단계 집락추출법,4,모집단 구성원 전체에 난수나 일련번호를 부여한 뒤 임의의 확률 수표 등을 적용해 아무런 주관이나 규칙적 장치 없이 완전히 무작위로 표본을 선택하는 확률 표본 추출법을 단순 임의추출법이라고 합니다.,단순무작위표본추출,256,80
200,감염병관리에 대한 보건소의 정책에 관한 만족도 조사'를 위해 지역 주민을 대상으로 다음과 같이 표본을 추출할 계획이라면 이때의 표본 추출방법은?,"• 표본 대상을 성별, 경제적 특성 등에 따라 여러 개의 부분집단으로 분류
• 지역의 구, 동 행정구역 분포에 따라 몇 개의 구역 집단으로 분류
• 표본 추출은 각 집단별로 단순임의로 추출",계통추출법,집락추출법,편의추출법,단순확률추출법,층화임의추출법,5,"모집단을 사전에 공유된 특정 속성이나 지식(성별, 지역, 특성 등)에 따라 상호 배타적인 동질적 계층(층)으로 분할한 뒤, 각 층 내부에서 독립적으로 무작위 표본을 추출하는 방식을 층화임의추출법이라고 합니다.",층화표본추출,258,81
201,지역사회의 보건수준을 평가하는 데 있어서 가장 대표적인 지표로 이용되고 있는 것은?,,실업률,평균수명,조사망률,영아사망률,감염병발생률,4,"영아사망률은 한 국가나 지역사회의 보건 의료 기술, 환경 위생, 영양 공급 및 모자 보건 수준을 가장 민감하게 즉각 반영하므로 국가 간 보건 수준 평가의 가장 대표적인 지표로 사용됩니다.",영아사망률,2,37
202,a-index에 있어서 가장 보건수준이 높은 것은?,,1에 가장 가까울 때,1 이상 2 미만일 때,2이상 3 미만일 때,3에 가장 가까울 때,3 이상일 때,1,알파인덱스(a-index = 영아 사망수 / 신생아 사망수)는 그 값이 1에 근접해 수렴할수록 출생 후 환경적 요인(예방 및 치료 가능한 질병)에 의한 영아 사망이 최소화되었음을 나타내므로 보건 수준이 가장 높은 상태를 의미합니다.,신생아사망,174,38
203,통계의 개념을 가장 잘 설명한 것은?,,관심있는 자료를 수집 후 정리해 놓은 것,자료를 검색하고 주관적인 의견을 제시하는 것,자료에 대한 정보를 제시하며 자신의 주관적 주장을 논의하는 것,자료를 계량화하여 자신의 주장과 일치하는 부분을 정리하여 전달하는 것,자료를 수집하고 분석한 결과를 과학적 판단에 의해 명확한 방향을 제시하는 것,5,"통계학이란 현상이나 관심 대상이 되는 수치적 자료를 체계적으로 수집, 정리, 요약하고, 이를 과학적 판단 기준에 근거해 분석함으로써 불확실한 사실에 대해 합리적이고 명확한 방향 정보를 도출하는 학문적 체계입니다.",과학,664,1
204,다음 설명과 관련 있는 영역은?,"• 자료를 수집, 정리하여 표나 도표를 작성
• 자료를 요약하여 대푯값 및 분포의 형태 등을 제시
• 자료의 특성을 도출하여 기본적인 숫자값을 제시
• 시각적으로 표나 도표 또는 이미지를 통해 결과를 제시",기술통계학,추측통계학,병원통계학,보건통계학,그림통계학,1,"당해 조사 대상인 표본이나 데이터 집합 자체를 체계적으로 수집, 정리, 요약하여 표, 그래프, 중심 지표(평균, 최빈값 등)로 데이터 고유의 형태학적 특성을 묘사·제시하는 분야를 기술통계학(Descriptive statistics)이라고 합니다.",기술통계학,,94
205,다음 설명과 관련 있는 통계학 영역은?,병원 내원 환자의 특성값을 이용하여 잠재 고객을 위한 고객관계관리 전략을 수립하기 위한 보고서를 만들었다.,기술통계학,추측통계학,병원통계학,보건통계학,그림통계학,2,확보된 표본 데이터의 내부 통계적 특성 지표(통계량)를 바탕으로 데이터의 원천이 되는 모집단 전체의 확률적 속성과 모수치적 특성을 논리적으로 추론·예측하고 의사결정 전략을 도출하는 분야를 추측통계학(추론통계학)이라고 합니다.,추측통계학,,117
206,"A병원의 내원 환자들에 대한 다양한 특성값(성별, 주소지, 개인 특성, 보험 등)을 표나 도표 등을 이용하여 평균, 분포 등을 나타내었다면 통계학의 분야 중 어느 영역인가?",,기술통계학,추측통계학,병원통계학,보건통계학,그림통계학,1,수집된 병원 이용 환자군의 기초 데이터 속성들을 도표화하고 산술 평균치 및 분포 곡선 등으로 단순 요약하여 가시적으로 표현하는 실무는 기술통계학 영역에 정밀하게 일치합니다.,기술통계학,,94
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
